Size,Time
0,0.000000030
1,0.000000291
2,0.000000722
3,0.000000761
4,0.000001032
5,0.000000881
10,0.000001212
15,0.000001423
20,0.000001793
25,0.000002155
30,0.000002595
35,0.000002846
40,0.000003226
45,0.000003727
50,0.000005871
100,0.000007424
150,0.000010139
200,0.000013596
250,0.000017452
300,0.000021530
350,0.000024115
400,0.000027371
450,0.000030106
500,0.000032972
1000,0.000066364
1500,0.000112800
2000,0.000131465
2500,0.000165028
3000,0.000197619
3500,0.000230199
4000,0.000261267
4500,0.000294749
5000,0.000337710
10000,0.000689525
15000,0.001092385
20000,0.001341761
25000,0.001644815
30000,0.002009535
35000,0.002300747
40000,0.002749114
45000,0.002965557
50000,0.003286024
100000,0.006609167
150000,0.009822025
200000,0.015321334
250000,0.016618030
300000,0.024902049
350000,0.027020727
400000,0.030087021
450000,0.033443256
500000,0.038659066
1000000,0.085202106
