Size,Time
0,0.000000030
1,0.000000200
2,0.000000260
3,0.000000251
4,0.000000431
5,0.000000611
10,0.000000872
15,0.000000971
20,0.000001223
25,0.000001523
30,0.000001713
35,0.000001944
40,0.000002955
45,0.000002385
50,0.000004138
100,0.000005130
150,0.000007574
200,0.000009809
250,0.000012033
300,0.000014638
350,0.000017042
400,0.000019096
450,0.000021611
500,0.000024095
1000,0.000047419
1500,0.000073537
2000,0.000095278
2500,0.000118151
3000,0.000141554
3500,0.000164777
4000,0.000189113
4500,0.000222766
5000,0.000236422
10000,0.000474686
15000,0.000718591
20000,0.000952397
25000,0.001201272
30000,0.001431262
35000,0.001662112
40000,0.001903533
45000,0.003315268
50000,0.002374132
100000,0.004817663
150000,0.007150357
200000,0.013356928
250000,0.012453485
300000,0.019125969
350000,0.017727420
400000,0.019051961
450000,0.021481186
500000,0.023876707
1000000,0.049531182
