Size,Time
0,0.000000020
1,0.000000110
2,0.000000271
3,0.000000321
4,0.000000330
5,0.000000421
10,0.000001031
15,0.000001463
20,0.000001603
25,0.000001963
30,0.000002475
35,0.000002835
40,0.000003156
45,0.000003597
50,0.000004338
100,0.000007144
150,0.000010299
200,0.000013294
250,0.000023564
300,0.000020168
350,0.000022903
400,0.000026709
450,0.000029566
500,0.000033002
1000,0.000066264
1500,0.000096690
2000,0.000130584
2500,0.000161171
3000,0.000193221
3500,0.000320087
4000,0.000257811
4500,0.000289310
5000,0.000321550
10000,0.000651015
15000,0.000968547
20000,0.001290568
25000,0.001624121
30000,0.001952424
35000,0.002245481
40000,0.002769860
45000,0.002931812
50000,0.003283017
100000,0.008862783
150000,0.010199257
200000,0.013516629
250000,0.018989915
300000,0.021819638
350000,0.024642236
400000,0.031355236
450000,0.031904532
500000,0.035490625
1000000,0.073013453
