Size,Time
0,0.000000030
1,0.000000140
2,0.000000190
3,0.000000210
4,0.000000261
5,0.000000331
10,0.000000711
15,0.000001011
20,0.000001152
25,0.000001513
30,0.000001673
35,0.000001904
40,0.000003327
45,0.000002394
50,0.000002676
100,0.000005079
150,0.000007394
200,0.000010079
250,0.000018665
300,0.000015138
350,0.000016882
400,0.000019316
450,0.000021510
500,0.000024015
1000,0.000060824
1500,0.000081492
2000,0.000095128
2500,0.000118020
3000,0.000142216
3500,0.000258262
4000,0.000207767
4500,0.000227134
5000,0.000235901
10000,0.000471741
15000,0.000718220
20000,0.000951876
25000,0.001186646
30000,0.001420642
35000,0.001689434
40000,0.001904926
45000,0.002322936
50000,0.002389771
100000,0.004788108
150000,0.007187346
200000,0.009510482
250000,0.011991804
300000,0.017181791
350000,0.016690042
400000,0.020670994
450000,0.021473922
500000,0.023851850
1000000,0.047696388
