Size,Time
0,0.000000030
1,0.000000151
2,0.000000330
3,0.000000561
4,0.000000451
5,0.000000821
10,0.000001052
15,0.000001552
20,0.000001903
25,0.000002825
30,0.000002675
35,0.000003086
40,0.000003186
45,0.000005780
50,0.000004018
100,0.000007834
150,0.000015659
200,0.000013876
250,0.000017693
300,0.000020698
350,0.000037380
400,0.000027521
450,0.000030837
500,0.000033672
1000,0.000067255
1500,0.000098443
2000,0.000130002
2500,0.000164756
3000,0.000195986
3500,0.000229338
4000,0.000261448
4500,0.000294679
5000,0.000340083
10000,0.000662145
15000,0.001227207
20000,0.001319018
25000,0.001648342
30000,0.001966194
35000,0.002295167
40000,0.002633528
45000,0.003104566
50000,0.003276146
100000,0.007234192
150000,0.011205062
200000,0.016046785
250000,0.020244158
300000,0.023480990
350000,0.029102166
400000,0.031922923
450000,0.036350193
500000,0.040035261
1000000,0.076788686
