Size,Time
0,0.000000030
1,0.000000160
2,0.000000240
3,0.000000361
4,0.000000471
5,0.000000551
10,0.000000932
15,0.000001393
20,0.000001703
25,0.000002194
30,0.000002705
35,0.000002936
40,0.000003066
45,0.000003667
50,0.000004178
100,0.000007965
150,0.000011662
200,0.000015519
250,0.000019376
300,0.000023865
350,0.000027792
400,0.000033573
450,0.000038883
500,0.000045024
1000,0.000107871
1500,0.000188952
2000,0.000287847
2500,0.000403954
3000,0.000547552
3500,0.000891013
4000,0.000874703
4500,0.001061642
5000,0.001707086
10000,0.004825417
15000,0.010596960
20000,0.021284258
25000,0.028022355
30000,0.039706564
35000,0.053658335
40000,0.069759780
45000,0.115739343
50000,0.116753426
100000,0.437048993
150000,1.044786866
200000,1.922491414
250000,2.951584896
300000,4.127603032
350000,5.744409229
400000,7.287908335
450000,9.029660150
500000,11.903355051
1000000,43.195834696
