Size,Time
0,0.000000030
1,0.000000301
2,0.000000391
3,0.000000651
4,0.000000752
5,0.000001112
10,0.000001173
15,0.000001502
20,0.000001854
25,0.000002584
30,0.000002564
35,0.000002785
40,0.000003316
45,0.000003537
50,0.000006402
100,0.000007433
150,0.000010870
200,0.000013886
250,0.000016981
300,0.000020769
350,0.000023534
400,0.000026690
450,0.000029855
500,0.000033072
1000,0.000065582
1500,0.000098143
2000,0.000129792
2500,0.000172552
3000,0.000198120
3500,0.000232213
4000,0.000262269
4500,0.000301973
5000,0.000326980
10000,0.000651704
15000,0.001048253
20000,0.001294893
25000,0.001625239
30000,0.001934425
35000,0.002261284
40000,0.002607349
45000,0.002919611
50000,0.003268362
100000,0.007889914
150000,0.010024893
200000,0.013745897
250000,0.017047150
300000,0.022326018
350000,0.025200735
400000,0.029324901
450000,0.031023807
500000,0.036995537
1000000,0.075400009
