Size,Time
0,0.000000030
1,0.000000471
2,0.000001092
3,0.000000682
4,0.000000701
5,0.000001343
10,0.000001372
15,0.000001703
20,0.000002264
25,0.000004458
30,0.000003186
35,0.000003898
40,0.000004178
45,0.000004859
50,0.000008866
100,0.000010330
150,0.000015308
200,0.000021130
250,0.000026870
300,0.000034404
350,0.000042740
400,0.000050855
450,0.000059531
500,0.000069148
1000,0.000180877
1500,0.000347869
2000,0.000536670
2500,0.000795303
3000,0.001218601
3500,0.001533589
4000,0.001866268
4500,0.002265943
5000,0.002858326
10000,0.011344552
15000,0.029048065
20000,0.043836345
25000,0.064973747
30000,0.093714390
35000,0.127076124
40000,0.166255911
45000,0.212672164
50000,0.268049848
100000,1.108415270
150000,2.523818717
200000,4.514247470
250000,7.045892268
300000,9.427900203
350000,13.612471436
400000,17.761777474
450000,21.357437306
500000,26.783074420
1000000,104.836887726
