Size,Time
0,0.000000030
1,0.000000140
2,0.000000180
3,0.000000250
4,0.000000291
5,0.000000381
10,0.000000951
15,0.000001313
20,0.000001714
25,0.000001963
30,0.000002164
35,0.000002584
40,0.000004118
45,0.000003386
50,0.000005240
100,0.000006993
150,0.000010349
200,0.000013695
250,0.000016842
300,0.000020298
350,0.000023614
400,0.000026790
450,0.000029475
500,0.000033533
1000,0.000066043
1500,0.000100057
2000,0.000132928
2500,0.000176690
3000,0.000196546
3500,0.000226113
4000,0.000407971
4500,0.000293508
5000,0.000324335
10000,0.000654692
15000,0.000984037
20000,0.001319032
25000,0.001690045
30000,0.001954358
35000,0.002339687
40000,0.002735236
45000,0.002944145
50000,0.003286143
100000,0.007572053
150000,0.011547614
200000,0.016138092
250000,0.023748046
300000,0.022513793
350000,0.026610400
400000,0.031340028
450000,0.034434995
500000,0.037846432
1000000,0.075683266
