Size,Time
0,0.000000029
1,0.000000310
2,0.000000551
3,0.000000531
4,0.000000601
5,0.000000932
10,0.000001332
15,0.000001784
20,0.000002464
25,0.000004669
30,0.000003366
35,0.000003776
40,0.000004429
45,0.000004939
50,0.000008907
100,0.000016010
150,0.000015850
200,0.000020959
250,0.000041146
300,0.000054652
350,0.000042419
400,0.000082123
450,0.000059691
500,0.000112610
1000,0.000203910
1500,0.000335165
2000,0.000789542
2500,0.000787919
3000,0.001087055
3500,0.001856079
4000,0.001805915
4500,0.002243250
5000,0.002737842
10000,0.011156662
15000,0.025021852
20000,0.042549096
25000,0.066490915
30000,0.095776784
35000,0.125620491
40000,0.163706149
45000,0.227618319
50000,0.256485476
100000,1.094996218
150000,2.528044061
200000,4.475457326
250000,7.077708944
300000,9.399096641
350000,13.129765441
400000,16.406852943
450000,21.736150780
500000,26.342592083
1000000,109.509087116
