Size,Time
0,0.000000030
1,0.000000100
2,0.000000240
3,0.000000350
4,0.000000360
5,0.000000490
10,0.000000902
15,0.000001533
20,0.000001593
25,0.000002194
30,0.000002585
35,0.000003026
40,0.000003146
45,0.000003767
50,0.000003857
100,0.000007504
150,0.000010750
200,0.000014036
250,0.000017643
300,0.000020588
350,0.000023955
400,0.000027351
450,0.000030898
500,0.000034243
1000,0.000066334
1500,0.000099085
2000,0.000139851
2500,0.000163165
3000,0.000196616
3500,0.000243775
4000,0.000262971
4500,0.000293057
5000,0.000338341
10000,0.000663399
15000,0.000990037
20000,0.001355320
25000,0.001817132
30000,0.001987630
35000,0.003172712
40000,0.002697845
45000,0.002988368
50000,0.003404404
100000,0.008646670
150000,0.013564109
200000,0.018435220
250000,0.023879001
300000,0.028944616
350000,0.032979567
400000,0.038497187
450000,0.043151855
500000,0.052043872
1000000,0.102289739
