Size,Time
1,0.000000401
2,0.000000210
3,0.000000361
4,0.000000280
5,0.000000441
6,0.000000421
7,0.000000561
8,0.000000931
9,0.000000621
10,0.000001032
20,0.000002003
30,0.000002534
40,0.000003797
50,0.000004268
60,0.000007714
70,0.000005610
80,0.000009277
90,0.000009678
100,0.000007704
200,0.000023925
300,0.000028794
400,0.000030757
500,0.000038532
600,0.000047338
700,0.000053099
800,0.000052327
900,0.000066364
1000,0.000070061
2000,0.000168034
3000,0.000227525
4000,0.000291194
5000,0.000328594
6000,0.000401960
7000,0.000507337
8000,0.000544095
9000,0.000611321
10000,0.000669670
20000,0.002421510
30000,0.002223320
40000,0.002940188
50000,0.003627381
60000,0.004316837
70000,0.004947244
80000,0.005726188
90000,0.006514009
100000,0.007083833
200000,0.016257185
300000,0.023925348
400000,0.030597222
500000,0.039585970
600000,0.052909328
700000,0.062338157
800000,0.065293854
900000,0.077279596
1000000,0.091591560
2000000,0.175339920
