Size,Time
1,0.000000050
2,0.000000130
3,0.000000191
4,0.000001913
5,0.000000391
6,0.000000360
7,0.000000532
8,0.000000581
9,0.000005420
10,0.000002345
20,0.000002926
30,0.000002174
40,0.000002564
50,0.000003006
60,0.000023204
70,0.000005831
80,0.000006453
90,0.000005209
100,0.000007534
200,0.000015700
300,0.000022742
400,0.000027812
500,0.000044062
600,0.000045706
700,0.000052117
800,0.000056716
900,0.000074208
1000,0.000074649
2000,0.000145541
3000,0.000215372
4000,0.000320157
5000,0.000366484
6000,0.000447465
7000,0.000552822
8000,0.000594990
9000,0.000655243
10000,0.000741314
20000,0.001495852
30000,0.002237296
40000,0.003411768
50000,0.004317068
60000,0.004570271
70000,0.006340856
80000,0.006882697
90000,0.008069903
100000,0.009138528
200000,0.018883076
300000,0.029097452
400000,0.038515371
500000,0.048713165
600000,0.059892702
700000,0.066501048
800000,0.079259311
900000,0.088699432
1000000,0.114969376
2000000,0.206052707
