Size,Time
1,0.000000250
2,0.000000501
3,0.000000671
4,0.000000921
5,0.000001071
6,0.000001302
7,0.000001593
8,0.000001423
9,0.000001634
10,0.000001954
20,0.000002895
30,0.000004769
40,0.000005600
50,0.000006432
60,0.000010360
70,0.000008986
80,0.000009557
90,0.000012313
100,0.000011090
200,0.000022582
300,0.000032110
400,0.000042790
500,0.000084208
600,0.000069139
700,0.000079128
800,0.000092332
900,0.000128650
1000,0.000116448
2000,0.000267780
3000,0.000427268
4000,0.000630867
5000,0.000897114
6000,0.001151449
7000,0.001691397
8000,0.001785613
9000,0.002196360
10000,0.002779428
20000,0.012136013
30000,0.023578160
40000,0.040649655
50000,0.062781785
60000,0.088286731
70000,0.121054334
80000,0.156328064
90000,0.200091520
100000,0.242539521
200000,1.093639964
300000,2.522986337
400000,4.569687865
500000,7.220466491
600000,10.167978856
700000,13.871401434
800000,17.528821394
900000,21.743694853
1000000,28.575266481
2000000,104.365679381
