Size,Time
1,0.000000841
2,0.000000591
3,0.000000752
4,0.000000952
5,0.000000991
6,0.000001072
7,0.000001272
8,0.000002154
9,0.000001432
10,0.000002444
20,0.000003587
30,0.000004699
40,0.000010730
50,0.000005840
60,0.000006492
70,0.000008275
80,0.000008717
90,0.000008977
100,0.000010690
200,0.000019767
300,0.000021981
400,0.000028132
500,0.000032301
600,0.000041357
700,0.000045646
800,0.000052227
900,0.000056636
1000,0.000074258
2000,0.000122218
3000,0.000195204
4000,0.000262219
5000,0.000334835
6000,0.000422779
7000,0.000456692
8000,0.000517446
9000,0.000623895
10000,0.000679098
20000,0.001849352
30000,0.002433492
40000,0.002770571
50000,0.003507487
60000,0.004120631
70000,0.004941324
80000,0.005477625
90000,0.006479123
100000,0.006659590
200000,0.013276642
300000,0.019770773
400000,0.025999018
500000,0.032261337
600000,0.039258738
700000,0.045116983
800000,0.051430869
900000,0.057057872
1000000,0.063428853
2000000,0.136808026
