Size,Time
1,0.000000090
2,0.000000171
3,0.000000301
4,0.000000320
5,0.000000341
6,0.000000421
7,0.000000461
8,0.000000581
9,0.000002305
10,0.000001002
20,0.000003527
30,0.000004027
40,0.000002776
50,0.000005470
60,0.000005620
70,0.000006151
80,0.000007233
90,0.000005460
100,0.000011442
200,0.000014998
300,0.000020989
400,0.000028954
500,0.000041017
600,0.000044413
700,0.000052588
800,0.000063338
900,0.000070381
1000,0.000076583
2000,0.000151844
3000,0.000228196
4000,0.000301563
5000,0.000375681
6000,0.000519750
7000,0.000844195
8000,0.001006229
9000,0.000683445
10000,0.000773264
20000,0.001719760
30000,0.002435526
40000,0.003103132
50000,0.003874683
60000,0.004602561
70000,0.005410158
80000,0.006859905
90000,0.006758145
100000,0.008245170
200000,0.015912081
300000,0.025317636
400000,0.030974566
500000,0.047333009
600000,0.049550018
700000,0.055259274
800000,0.061659480
900000,0.068285869
1000000,0.078284491
2000000,0.154466900
