Size,Time
1,0.000000091
2,0.000001743
3,0.000000240
4,0.000000321
5,0.000000351
6,0.000000340
7,0.000000481
8,0.000000501
9,0.000000591
10,0.000000691
20,0.000001232
30,0.000003587
40,0.000004368
50,0.000003186
60,0.000005119
70,0.000005921
80,0.000006643
90,0.000005270
100,0.000005951
200,0.000018605
300,0.000022472
400,0.000028543
500,0.000037590
600,0.000042820
700,0.000068097
800,0.000061766
900,0.000100567
1000,0.000082164
2000,0.000156502
3000,0.000235039
4000,0.000311411
5000,0.000383686
6000,0.000471300
7000,0.000579371
8000,0.000641478
9000,0.000709464
10000,0.000825511
20000,0.001594736
30000,0.002408426
40000,0.003272047
50000,0.004932086
60000,0.005145174
70000,0.008675985
80000,0.007795351
90000,0.008251632
100000,0.011603989
200000,0.023375341
300000,0.038003866
400000,0.049804202
500000,0.063744542
600000,0.079093762
700000,0.092826356
800000,0.103919010
900000,0.117520678
1000000,0.131337077
2000000,0.261743226
