Size,Time
1,0.000000290
2,0.000000461
3,0.000000671
4,0.000000732
5,0.000000901
6,0.000001042
7,0.000001223
8,0.000001263
9,0.000001473
10,0.000001543
20,0.000002955
30,0.000003767
40,0.000004609
50,0.000007704
60,0.000006923
70,0.000008466
80,0.000008737
90,0.000011772
100,0.000013425
200,0.000022031
300,0.000029535
400,0.000040496
500,0.000051325
600,0.000069540
700,0.000098483
800,0.000089548
900,0.000124172
1000,0.000117108
2000,0.000223788
3000,0.000385309
4000,0.000472802
5000,0.000731526
6000,0.000821984
7000,0.001012751
8000,0.001274208
9000,0.001343709
10000,0.001506872
20000,0.004330914
30000,0.008894252
40000,0.015330214
50000,0.023115567
60000,0.032492018
70000,0.047200071
80000,0.056056142
90000,0.069903217
100000,0.086154361
200000,0.330587117
300000,0.768600390
400000,1.453421294
500000,2.290776185
600000,3.358656525
700000,4.621215474
800000,6.036430451
900000,7.707924897
1000000,9.467413520
2000000,36.037644667
