Size,Time
1,0.000000241
2,0.000000501
3,0.000000772
4,0.000002985
5,0.000001102
6,0.000004999
7,0.000001363
8,0.000001714
9,0.000001823
10,0.000002575
20,0.000003848
30,0.000005189
40,0.000008716
50,0.000008616
60,0.000009387
70,0.000011852
80,0.000013836
90,0.000023394
100,0.000024005
200,0.000049242
300,0.000051126
400,0.000066123
500,0.000092563
600,0.000088125
700,0.000111188
800,0.000150872
900,0.000186018
1000,0.000184635
2000,0.000392052
3000,0.000594429
4000,0.000958219
5000,0.001325555
6000,0.001720311
7000,0.002120708
8000,0.003634584
9000,0.003113712
10000,0.003630125
20000,0.016819915
30000,0.030594657
40000,0.053377161
50000,0.082536468
60000,0.118403386
70000,0.159456413
80000,0.207063794
90000,0.263033726
100000,0.325325405
200000,1.402436816
300000,3.372051438
400000,6.051732573
500000,9.454872905
600000,13.342775879
700000,18.004062127
800000,23.771935876
900000,29.901895670
1000000,37.043832122
2000000,141.792929865
