Size,Time
0,0.000000030
1,0.000000160
2,0.000000611
3,0.000000772
4,0.000000751
5,0.000000932
10,0.000001723
15,0.000002605
20,0.000003076
25,0.000005390
30,0.000005059
35,0.000005590
40,0.000006352
45,0.000007433
50,0.000010109
100,0.000022271
150,0.000032891
200,0.000035265
250,0.000058118
300,0.000070472
350,0.000062626
400,0.000098033
450,0.000082874
500,0.000093364
1000,0.000264683
1500,0.000304858
2000,0.000424251
2500,0.000566155
3000,0.000927538
3500,0.000872676
4000,0.000956823
4500,0.001175541
5000,0.001198043
10000,0.002656631
15000,0.004341752
20000,0.006078698
25000,0.007966226
30000,0.009284392
35000,0.011364419
40000,0.013597170
45000,0.014969438
50000,0.016941804
100000,0.039419634
150000,0.064970061
200000,0.141866848
250000,0.146318355
300000,0.187748696
350000,0.269229086
400000,0.286090850
450000,0.413775328
500000,0.395954015
1000000,1.011521651
