Size,Time
0,0.000000030
1,0.000000161
2,0.000000341
3,0.000000430
4,0.000000501
5,0.000000661
10,0.000001262
15,0.000001632
20,0.000002344
25,0.000002644
30,0.000003316
35,0.000003678
40,0.000004348
45,0.000004739
50,0.000005771
100,0.000010820
150,0.000016010
200,0.000021360
250,0.000032291
300,0.000032381
350,0.000038211
400,0.000045455
450,0.000051045
500,0.000059291
1000,0.000151533
1500,0.000242543
2000,0.000368829
2500,0.000510943
3000,0.000693264
3500,0.001228663
4000,0.001091508
4500,0.001431021
5000,0.001581202
10000,0.005726027
15000,0.013698309
20000,0.021645523
25000,0.033492666
30000,0.047806202
35000,0.064567108
40000,0.083686866
45000,0.107938883
50000,0.140065179
100000,0.537801132
150000,1.257947430
200000,2.204963551
250000,3.303921150
300000,4.634948975
350000,6.803865543
400000,8.362703913
450000,10.590656669
500000,13.160598920
1000000,56.401704832
