Size,Time
0,0.000000020
1,0.000000080
2,0.000000270
3,0.000000340
4,0.000000591
5,0.000000601
10,0.000001623
15,0.000002294
20,0.000003236
25,0.000003988
30,0.000004579
35,0.000005521
40,0.000006081
45,0.000006742
50,0.000007674
100,0.000015829
150,0.000024455
200,0.000033021
250,0.000053289
300,0.000050695
350,0.000095267
400,0.000070732
450,0.000080540
500,0.000089617
1000,0.000187019
1500,0.000298688
2000,0.000413532
2500,0.000550748
3000,0.000667406
3500,0.000903927
4000,0.001055651
4500,0.001103580
5000,0.001401797
10000,0.002801790
15000,0.004503566
20000,0.006342870
25000,0.008905643
30000,0.010238130
35000,0.014030318
40000,0.014120247
45000,0.015725212
50000,0.020456523
100000,0.061847331
150000,0.116970280
200000,0.164025972
250000,0.230722604
300000,0.314997919
350000,0.362605471
400000,0.421883446
450000,0.464763775
500000,0.531070729
1000000,1.245595736
