Size,Time
0,0.000000030
1,0.000000150
2,0.000000300
3,0.000000440
4,0.000000530
5,0.000000622
10,0.000001172
15,0.000001724
20,0.000002224
25,0.000002625
30,0.000003276
35,0.000003747
40,0.000004278
45,0.000004819
50,0.000005520
100,0.000010710
150,0.000015829
200,0.000021440
250,0.000039664
300,0.000032210
350,0.000038492
400,0.000045245
450,0.000052027
500,0.000059221
1000,0.000142707
1500,0.000254064
2000,0.000377265
2500,0.000507998
3000,0.000697602
3500,0.000944753
4000,0.001211952
4500,0.001331505
5000,0.001591501
10000,0.005704107
15000,0.012430502
20000,0.021791955
25000,0.033348376
30000,0.047965801
35000,0.069885815
40000,0.086578834
45000,0.105770195
50000,0.134079446
100000,0.542929561
150000,1.198942775
200000,2.225616893
250000,3.536518864
300000,4.793656302
350000,6.395077714
400000,8.204948245
450000,10.782675249
500000,12.942429109
1000000,51.199336870
