Size,Time
1,0.000000040
2,0.000000060
3,0.000000050
4,0.000000120
5,0.000000091
6,0.000000170
7,0.000000200
8,0.000000120
9,0.000000250
10,0.000000190
20,0.000000762
30,0.000000992
40,0.000001643
50,0.000001523
60,0.000002204
70,0.000002485
80,0.000002986
90,0.000004028
100,0.000004157
200,0.000033583
300,0.000016220
400,0.000022422
500,0.000031058
600,0.000041157
700,0.000053089
800,0.000063659
900,0.000065963
1000,0.000063769
2000,0.000145592
3000,0.000216253
4000,0.000286124
5000,0.000379268
6000,0.000465329
7000,0.000673869
8000,0.000638462
9000,0.000921731
10000,0.000795165
20000,0.002238249
30000,0.002732573
40000,0.003846062
50000,0.007001584
60000,0.005770626
70000,0.007918265
80000,0.008302714
90000,0.008669318
100000,0.012158132
200000,0.024039288
300000,0.055330658
400000,0.066627352
500000,0.090526999
600000,0.119489911
700000,0.134805090
800000,0.155569250
900000,0.177034672
1000000,0.193801381
2000000,0.372581703
