Size,Time
1,0.000000030
2,0.000000040
3,0.000000029
4,0.000000030
5,0.000000040
6,0.000000040
7,0.000000040
8,0.000000040
9,0.000000049
10,0.000000040
20,0.000000070
30,0.000000090
40,0.000000200
50,0.000000140
60,0.000000180
70,0.000000181
80,0.000000200
90,0.000000411
100,0.000000260
200,0.000000792
300,0.000000691
400,0.000000922
500,0.000001162
600,0.000002153
700,0.000002505
800,0.000003126
900,0.000003136
1000,0.000002284
2000,0.000004459
3000,0.000006713
4000,0.000008917
5000,0.000011151
6000,0.000013375
7000,0.000026269
8000,0.000017803
9000,0.000033943
10000,0.000024947
20000,0.000070222
30000,0.000066515
40000,0.000088866
50000,0.000110757
60000,0.000132988
70000,0.000155982
80000,0.000177671
90000,0.000199272
100000,0.000355093
200000,0.000453797
300000,0.000676173
400000,0.000899980
500000,0.001121624
600000,0.002285027
700000,0.001573729
800000,0.001789962
900000,0.002011847
1000000,0.002254831
2000000,0.004472280
