Size,Time
1,0.000000070
2,0.000000090
3,0.000000100
4,0.000000140
5,0.000000150
6,0.000000201
7,0.000000231
8,0.000000220
9,0.000000251
10,0.000000301
20,0.000000882
30,0.000001663
40,0.000001172
50,0.000001623
60,0.000001954
70,0.000001703
80,0.000002595
90,0.000003286
100,0.000003767
200,0.000012102
300,0.000015649
400,0.000022532
500,0.000027772
600,0.000036148
700,0.000037800
800,0.000047689
900,0.000066454
1000,0.000065432
2000,0.000141234
3000,0.000203650
4000,0.000274673
5000,0.000341407
6000,0.000495706
7000,0.000608576
8000,0.000690880
9000,0.000676173
10000,0.000789985
20000,0.001770135
30000,0.002751838
40000,0.003501498
50000,0.004678597
60000,0.005130911
70000,0.006064274
80000,0.007099426
90000,0.008774404
100000,0.008579390
200000,0.019165748
300000,0.030941807
400000,0.045974998
500000,0.058831464
600000,0.067166718
700000,0.078488720
800000,0.088514141
900000,0.101758512
1000000,0.114534858
2000000,0.268055915
