Size,Time
1,0.000000050
2,0.000000181
3,0.000000200
4,0.000000311
5,0.000000461
6,0.000000441
7,0.000000631
8,0.000000912
9,0.000000832
10,0.000001062
20,0.000002494
30,0.000004288
40,0.000005961
50,0.000008506
60,0.000008826
70,0.000009287
80,0.000010199
90,0.000014407
100,0.000013375
200,0.000033713
300,0.000048761
400,0.000060063
500,0.000079839
600,0.000094937
700,0.000147726
800,0.000127668
900,0.000168845
1000,0.000169296
2000,0.000351867
3000,0.000623644
4000,0.000818578
5000,0.001047596
6000,0.001249162
7000,0.002011065
8000,0.001861947
9000,0.001986870
10000,0.002266472
20000,0.006986035
30000,0.010940018
40000,0.013606758
50000,0.020624391
60000,0.020847328
70000,0.026945365
80000,0.028994541
90000,0.032894664
100000,0.048662777
200000,0.106609680
300000,0.202607100
400000,0.237007989
500000,0.373027195
600000,0.495181771
700000,0.557139824
800000,0.712047300
900000,0.880525994
1000000,0.910628846
2000000,1.915042743
