Size,Time
1,0.000001573
2,0.000000290
3,0.000000431
4,0.000000501
5,0.000000601
6,0.000000631
7,0.000000911
8,0.000000992
9,0.000000972
10,0.000001262
20,0.000001743
30,0.000002244
40,0.000003997
50,0.000003527
60,0.000004248
70,0.000004729
80,0.000005630
90,0.000009358
100,0.000009397
200,0.000019226
300,0.000028113
400,0.000026450
500,0.000032421
600,0.000055613
700,0.000045074
800,0.000051596
900,0.000059170
1000,0.000066013
2000,0.000130774
3000,0.000192740
4000,0.000259004
5000,0.000327251
6000,0.000560707
7000,0.000666134
8000,0.000559484
9000,0.000570375
10000,0.000663178
20000,0.001574620
30000,0.002204997
40000,0.002646972
50000,0.003281839
60000,0.003925120
70000,0.004569533
80000,0.005305877
90000,0.006592249
100000,0.006535433
200000,0.013427943
300000,0.021899032
400000,0.030804080
500000,0.039335851
600000,0.055958931
700000,0.056752393
800000,0.061401724
900000,0.075429527
1000000,0.077959482
2000000,0.192177772
