Size,Time
1,0.000000081
2,0.000000181
3,0.000000230
4,0.000000290
5,0.000000351
6,0.000000380
7,0.000000461
8,0.000000551
9,0.000000641
10,0.000000672
20,0.000001483
30,0.000002074
40,0.000004008
50,0.000003566
60,0.000003938
70,0.000004499
80,0.000005420
90,0.000008546
100,0.000009538
200,0.000019155
300,0.000028424
400,0.000025969
500,0.000032450
600,0.000047248
700,0.000045615
800,0.000053099
900,0.000084077
1000,0.000088716
2000,0.000206215
3000,0.000195345
4000,0.000273020
5000,0.000329325
6000,0.000417960
7000,0.000690900
8000,0.000789044
9000,0.000717009
10000,0.000654021
20000,0.001346274
30000,0.002102786
40000,0.002889726
50000,0.003306675
60000,0.003970794
70000,0.005252848
80000,0.007687355
90000,0.006586569
100000,0.006579055
200000,0.014691764
300000,0.022105818
400000,0.029657599
500000,0.037407651
600000,0.045463984
700000,0.052985509
800000,0.061636302
900000,0.068163961
1000000,0.075058765
2000000,0.148646644
