Size,Time
1,0.000000130
2,0.000000261
3,0.000000340
4,0.000000381
5,0.000000532
6,0.000000661
7,0.000000761
8,0.000000862
9,0.000000942
10,0.000000892
20,0.000002084
30,0.000003166
40,0.000005610
50,0.000004799
60,0.000005861
70,0.000006822
80,0.000008015
90,0.000013034
100,0.000014877
200,0.000027432
300,0.000042319
400,0.000039594
500,0.000050845
600,0.000067836
700,0.000076072
800,0.000089498
900,0.000153106
1000,0.000178633
2000,0.000400558
3000,0.000547512
4000,0.000955104
5000,0.001487337
6000,0.001620606
7000,0.003025630
8000,0.002768099
9000,0.004195935
10000,0.003945737
20000,0.015937690
30000,0.032632815
40000,0.059022241
50000,0.095066887
60000,0.127237868
70000,0.187068339
80000,0.243462903
90000,0.303334920
100000,0.368567537
200000,1.491330957
300000,3.344453498
400000,5.983316193
500000,9.377476537
600000,13.148849561
700000,18.179865185
800000,22.597884013
900000,27.787832111
1000000,37.196531592
2000000,142.031336575
