Size,Time
1,0.000000060
2,0.000000170
3,0.000000210
4,0.000000290
5,0.000000370
6,0.000000471
7,0.000000561
8,0.000000692
9,0.000000692
10,0.000000881
20,0.000001643
30,0.000002274
40,0.000003086
50,0.000003837
60,0.000004348
70,0.000004909
80,0.000005540
90,0.000008796
100,0.000007434
200,0.000019497
300,0.000021631
400,0.000039384
500,0.000035536
600,0.000042810
700,0.000049732
800,0.000056755
900,0.000063989
1000,0.000070101
2000,0.000139090
3000,0.000197278
4000,0.000271547
5000,0.000528357
6000,0.000416027
7000,0.000491197
8000,0.000563602
9000,0.000937881
10000,0.000971003
20000,0.002125358
30000,0.002955489
40000,0.002644167
50000,0.003443430
60000,0.004051014
70000,0.005288716
80000,0.005332788
90000,0.006276079
100000,0.010434084
200000,0.014671666
300000,0.030625216
400000,0.041940905
500000,0.055386963
600000,0.067278467
700000,0.078952325
800000,0.116181844
900000,0.105180221
1000000,0.120288703
2000000,0.209036158
