Size,Time
1,0.000000080
2,0.000000201
3,0.000000341
4,0.000000491
5,0.000000451
6,0.000000551
7,0.000000711
8,0.000000802
9,0.000000802
10,0.000000881
20,0.000001603
30,0.000002494
40,0.000003176
50,0.000003998
60,0.000004829
70,0.000005299
80,0.000006122
90,0.000009759
100,0.000007715
200,0.000021800
300,0.000022753
400,0.000031930
500,0.000038732
600,0.000048541
700,0.000058820
800,0.000069700
900,0.000080941
1000,0.000093295
2000,0.000229258
3000,0.000407201
4000,0.000650014
5000,0.001263078
6000,0.001218124
7000,0.001630875
8000,0.001993482
9000,0.003692464
10000,0.004386371
20000,0.015239226
30000,0.028521327
40000,0.044363288
50000,0.066390108
60000,0.096215250
70000,0.132766462
80000,0.171070816
90000,0.209987685
100000,0.300841955
200000,1.113762752
300000,2.564294850
400000,4.570056287
500000,7.093948871
600000,9.842884171
700000,13.675939810
800000,16.906394716
900000,20.871288359
1000000,28.166550549
2000000,104.702214920
