Size,Time
1,0.000000050
2,0.000000131
3,0.000000191
4,0.000001923
5,0.000000471
6,0.000000361
7,0.000000511
8,0.000000581
9,0.000000622
10,0.000000761
20,0.000001343
30,0.000001984
40,0.000002735
50,0.000003166
60,0.000003557
70,0.000004328
80,0.000004999
90,0.000006973
100,0.000006191
200,0.000016471
300,0.000018385
400,0.000026460
500,0.000031308
600,0.000037130
700,0.000044143
800,0.000049222
900,0.000055904
1000,0.000062025
2000,0.000124412
3000,0.000189625
4000,0.000270655
5000,0.000491759
6000,0.000416097
7000,0.000576807
8000,0.000563732
9000,0.000914487
10000,0.001004356
20000,0.001535838
30000,0.005451339
40000,0.004672144
50000,0.006729406
60000,0.006407414
70000,0.010812480
80000,0.009556865
90000,0.011114264
100000,0.012420071
200000,0.030440621
300000,0.048126175
400000,0.067324193
500000,0.083640109
600000,0.108729468
700000,0.116131680
800000,0.144534165
900000,0.152069596
1000000,0.172453279
2000000,0.326022406
