Size,Time
1,0.000000231
2,0.000000821
3,0.000000822
4,0.000001022
5,0.000001062
6,0.000001453
7,0.000001463
8,0.000001683
9,0.000001954
10,0.000001823
20,0.000003596
30,0.000004879
40,0.000009487
50,0.000008216
60,0.000009348
70,0.000010981
80,0.000014467
90,0.000019527
100,0.000037499
200,0.000044173
300,0.000066695
400,0.000066183
500,0.000082655
600,0.000134702
700,0.000112861
800,0.000132217
900,0.000183843
1000,0.000170298
2000,0.000387334
3000,0.000629846
4000,0.000920649
5000,0.001316709
6000,0.002355989
7000,0.002899053
8000,0.002450906
9000,0.002948024
10000,0.003603599
20000,0.014003218
30000,0.032313899
40000,0.053352364
50000,0.084585796
60000,0.120200087
70000,0.162353329
80000,0.221522103
90000,0.262121463
100000,0.319443940
200000,1.415236958
300000,3.316702399
400000,5.982631504
500000,9.460649825
600000,13.508550580
700000,18.227699683
800000,22.983480168
900000,28.248765996
1000000,38.115884647
2000000,140.959411639
