Size,Time
1,0.000000070
2,0.000000180
3,0.000000400
4,0.000000351
5,0.000000411
6,0.000000621
7,0.000000772
8,0.000000801
9,0.000000871
10,0.000000972
20,0.000002133
30,0.000003276
40,0.000005701
50,0.000005260
60,0.000006112
70,0.000007363
80,0.000007935
90,0.000013124
100,0.000009858
200,0.000020869
300,0.000031088
400,0.000041608
500,0.000055874
600,0.000063349
700,0.000111377
800,0.000085860
900,0.000097402
1000,0.000130503
2000,0.000249726
3000,0.000429141
4000,0.000645325
5000,0.001253590
6000,0.001096337
7000,0.002025112
8000,0.001686890
9000,0.003006845
10000,0.002858448
20000,0.012556987
30000,0.018630408
40000,0.033252111
50000,0.046141509
60000,0.066198992
70000,0.088001223
80000,0.114395708
90000,0.146293681
100000,0.252237847
200000,0.705746263
300000,1.642970880
400000,2.933568061
500000,4.739660582
600000,6.452723296
700000,9.082551993
800000,11.222419293
900000,15.101400170
1000000,17.568992848
2000000,69.113015799
